+-----------+--------+-----------------+
|    Name   | Median | Fail Percentage |
|  BPK 201  |   B    |  2.07351555137  |
|  BPK 205  |   B    |   2.3381294964  |
|  BPK 207  |   B    |  2.55905511811  |
|  BPK 208  |   B    |  3.07692307692  |
|  BPK 212  |   B+   |  0.909090909091 |
|  BPK 241  |   B+   |  0.115340253749 |
|  BPK 301  |   B+   |       0.0       |
|  BPK 303  |   B+   |  0.15455950541  |
|  BPK 304W |   B+   |   1.0165184244  |
|  BPK 305  |   B    |  5.97426470588  |
|  BPK 306  |   B-   |  12.0812182741  |
|  BPK 308  |   A-   |       0.0       |
|  BPK 310  |   B    |  2.00267022697  |
|  BPK 311  |   B    |  0.624024960998 |
|  BPK 312  |   B+   |  0.149253731343 |
|  BPK 325  |   B    |  2.48344370861  |
|  BPK 326  |   B+   |   1.1583011583  |
|  BPK 336  |   B-   |  3.79746835443  |
|  BPK 340  |   B+   |  0.228310502283 |
|  BPK 342  |   B+   |  1.25786163522  |
|  BPK 343  |   B+   |  0.263157894737 |
|  BPK 344  |   A-   |       0.0       |
|  BPK 375  |   B+   |  1.93548387097  |
|  BPK 381  |   B+   |  0.819672131148 |
|  BPK 382  |   A-   |       0.0       |
|  BPK 401  |  B/B+  |       0.0       |
|  BPK 402  |   A-   |       0.0       |
|  BPK 407  |   B+   |       0.0       |
|  BPK 412  |   A-   |  1.21951219512  |
|  BPK 415  |   B    |  1.89873417722  |
|  BPK 417  |   B+   |       0.0       |
|  BPK 417W |  B+/A  |       0.0       |
|  BPK 420  |   A-   |       0.0       |
|  BPK 421  |   A    |       0.0       |
|  BPK 422  |   A-   |   1.6393442623  |
|  BPK 423  |   A-   |       0.0       |
|  BPK 426  |   B-   |  1.60427807487  |
|  BPK 431  |   B+   |  0.480769230769 |
|  BPK 443  |   A-   |       0.0       |
|  BPK 444  |   B+   |       0.0       |
|  BPK 446  |   B+   |  0.609756097561 |
|  BPK 448  |   B+   |       0.0       |
|  BPK 458  |   A-   |  0.714285714286 |
|  BPK 461  |   B+   |  3.50515463918  |
|  BPK 481  |   B+   |       0.0       |
|  BPK 482  |   A-   |       0.0       |
|  BPK 484  |   A-   |       0.0       |
|  BPK 496  |   A    |       0.0       |
|  BPK 497  |   A+   |       0.0       |
|  BPK 498  |   A    |       0.0       |
|  BPK 499  |   A+   |       0.0       |
|  BUEC 232 |   B-   |  4.74125874126  |
|  BUEC 280 |   B-   |  9.71659919028  |
|  BUEC 333 |   B-   |  5.41288028447  |
| BUEC 427W |   B    |       0.0       |
|  BUS 201  |   B-   |  1.34969325153  |
|  BUS 202  |   B    |  0.157853196527 |
|  BUS 207  |   B-   |  6.46542013967  |
|  BUS 237  |   B-   |  2.08830548926  |
|  BUS 238  |   B    |       0.0       |
